id_municipio,municipio,sigla_uf,regiao,populacao,area_km2,pib_mil_reais,vab_agropecuaria,vab_industria,vab_servicos,vab_adm_publica
4218103,Timbé do Sul,SC,Sul,5338,328.507,154885,59263,7969,47077,32400
4218202,Timbó,SC,Sul,45703,128.313,2534741,14515,876012,1009577,255853
4218251,Timbó Grande,SC,Sul,8003,596.344,303296,64362,117478,55595,46241
4218301,Três Barras,SC,Sul,19455,436.496,1522852,59846,882484,296497,118301
4218350,Treviso,SC,Sul,4002,156.61,232257,9545,118205,56045,34855
4218400,Treze de Maio,SC,Sul,7104,159.833,199732,43533,30055,68779,38459
4218509,Treze Tílias,SC,Sul,8138,185.937,829532,66979,309995,295248,52869
4218608,Trombudo Central,SC,Sul,7506,109.648,437965,45095,177041,110191,44658
4218707,Tubarão,SC,Sul,107143,301.485,4817596,73585,856170,2843749,535584
4218756,Tunápolis,SC,Sul,4507,132.939,182316,88933,10300,45322,29431
4218806,Turvo,SC,Sul,13080,235.104,737916,146869,166715,287802,68873
4218855,União do Oeste,SC,Sul,2364,92.857,85132,35505,5737,21614,18822
4218905,Urubici,SC,Sul,11311,1021.371,356315,118694,14822,139498,63726
4218954,Urupema,SC,Sul,2453,350.472,88459,46234,3277,18283,18344
4219002,Urussanga,SC,Sul,21419,254.954,1087691,49833,466994,328297,124566
4219101,Vargeão,SC,Sul,3569,166.685,201010,60911,35579,61806,24089
4219150,Vargem,SC,Sul,2387,350.606,116146,25472,49988,19098,19085
4219176,Vargem Bonita,SC,Sul,4411,299.807,539920,49497,290998,103029,32861
4219200,Vidal Ramos,SC,Sul,6321,346.932,354849,87141,96484,99593,40076
4219309,Videira,SC,Sul,54145,384.127,3456102,266365,990766,1432744,305964
4219358,Vitor Meireles,SC,Sul,4907,370.414,142288,54767,11893,39554,29483
4219408,Witmarsum,SC,Sul,4032,153.776,175208,41815,45945,48648,27069
4219507,Xanxerê,SC,Sul,52290,377.426,2639977,152013,470725,1456984,263250
4219606,Xavantina,SC,Sul,3873,218.032,211880,103298,31516,43524,25472
4219705,Xaxim,SC,Sul,29254,293.628,1471922,168907,526442,452698,164829
4219853,Zortéa,SC,Sul,3432,190.179,103657,36854,4274,32246,25637
4220000,Balneário Rincão,SC,Sul,13129,63.42,294751,8564,24828,165235,73319
4300034,Aceguá,RS,Sul,4981,1551.339,458226,269423,20614,99176,45050
4300059,Água Santa,RS,Sul,3738,291.503,547413,158098,24609,266706,28221
4300109,Agudo,RS,Sul,16344,534.624,667877,201173,101413,195298,99025
4300208,Ajuricaba,RS,Sul,6951,322.674,521060,247931,36131,152360,44355
4300307,Alecrim,RS,Sul,5710,316.394,162073,61909,4543,54718,32254
4300406,Alegrete,RS,Sul,72493,7800.428,3079886,1129605,260842,1042682,431648
4300455,Alegria,RS,Sul,3287,172.794,156623,75782,3775,39468,27214
4300471,Almirante Tamandaré do Sul,RS,Sul,1935,265.042,276412,156682,28161,52314,19605
4300505,Alpestre,RS,Sul,5885,325.979,196384,67276,25566,44935,50267
4300554,Alto Alegre,RS,Sul,1590,115.335,106142,62503,2952,20172,15899
4300570,Alto Feliz,RS,Sul,3043,78.175,161549,43493,51051,25889,23132
4300604,Alvorada,RS,Sul,212352,71.7,3302273,1326,475712,1415572,1066413
4300638,Amaral Ferrador,RS,Sul,7136,505.983,147633,58337,4029,35723,44830
4300646,Ametista do Sul,RS,Sul,7396,93.704,177772,25211,44190,44540,45173
4300661,André da Rocha,RS,Sul,1351,331.208,193090,137605,5517,29134,14485
4300703,Anta Gorda,RS,Sul,5941,242.1,322293,130820,20626,98989,36053
4300802,Antônio Prado,RS,Sul,13041,347.541,797513,83539,262422,254353,80503
4300851,Arambaré,RS,Sul,3544,518.193,285089,190606,10440,46394,31119
4300877,Araricá,RS,Sul,5840,35.391,236432,1258,91220,66929,45460
4300901,Aratiba,RS,Sul,6145,342.279,946972,113659,698597,64230,53002
4301008,Arroio do Meio,RS,Sul,21121,157.088,1536560,89636,618764,452912,120175
4301057,Arroio do Sal,RS,Sul,10483,119.16,285580,3597,25137,153272,79718
4301073,Arroio do Padre,RS,Sul,2966,124.693,76785,32441,2805,14103,23741
4301107,Arroio dos Ratos,RS,Sul,14201,425.791,357348,85045,37878,120838,88920
4301206,Arroio do Tigre,RS,Sul,13452,315.132,429273,163723,28258,131096,78882
4301305,Arroio Grande,RS,Sul,18185,2508.557,1131512,675999,45049,246321,112714
4301404,Arvorezinha,RS,Sul,10422,269.31,336248,83484,35137,129312,58532
4301503,Augusto Pestana,RS,Sul,6545,348.231,504184,243198,22390,161680,41168
4301552,Áurea,RS,Sul,3517,156.727,163439,68471,13628,43895,26470
4301602,Bagé,RS,Sul,121518,4090.36,3748437,398452,422684,1781942,769883
4301636,Balneário Pinhal,RS,Sul,14645,102.387,312095,26133,23357,139668,100671
4301651,Barão,RS,Sul,6232,124.757,308102,39226,130019,51687,36778
4301701,Barão de Cotegipe,RS,Sul,6616,260.505,341674,123848,37643,105471,40890
4301750,Barão do Triunfo,RS,Sul,7550,436.101,142319,65886,4638,22594,43581
4301800,Barracão,RS,Sul,5237,515.469,317085,185122,18380,62411,36671
4301859,Barra do Guarita,RS,Sul,3266,62.801,56812,18574,2434,12019,21840
4301875,Barra do Quaraí,RS,Sul,4238,1055.937,386183,263546,14222,58128,36264
4301909,Barra do Ribeiro,RS,Sul,13618,729.316,507428,222007,49672,123807,77893
4301925,Barra do Rio Azul,RS,Sul,1621,146.995,80748,52726,1288,8898,15671
4301958,Barra Funda,RS,Sul,2563,60.437,165030,38373,33653,49364,23271
4302006,Barros Cassal,RS,Sul,11167,647.994,244514,103558,8188,56711,64832
4302055,Benjamin Constant do Sul,RS,Sul,1924,132.351,49314,19516,2756,8674,16897
4302105,Bento Gonçalves,RS,Sul,123090,272.287,7498525,104329,2456586,2985354,747145
4302154,Boa Vista das Missões,RS,Sul,2087,196.064,238522,159797,5544,43131,18848
4302204,Boa Vista do Buricá,RS,Sul,6712,109.541,326887,82079,41300,129473,40622
4302220,Boa Vista do Cadeado,RS,Sul,2466,701.221,468752,331894,10627,81630,25043
4302238,Boa Vista do Incra,RS,Sul,2628,504.114,384174,273986,9128,60471,27162
4302253,Boa Vista do Sul,RS,Sul,2773,94.399,120127,32490,25930,24111,20597
4302303,Bom Jesus,RS,Sul,11270,2622.837,613624,328272,47849,139984,71006
4302352,Bom Princípio,RS,Sul,14446,88.66,906596,35807,295438,308256,83716
4302378,Bom Progresso,RS,Sul,1858,89.206,86280,41337,3421,18498,19308
4302402,Bom Retiro do Sul,RS,Sul,12448,102.54,403056,33550,123410,126227,73366
4302451,Boqueirão do Leão,RS,Sul,7691,265.952,150395,69998,6637,27464,41281
4302501,Bossoroca,RS,Sul,6135,1610.056,490599,312724,11968,97786,44676
4302584,Bozano,RS,Sul,2099,200.497,227410,130940,6094,55050,19490
4302600,Braga,RS,Sul,3271,132.044,130949,61985,3709,32156,25879
4302659,Brochier,RS,Sul,5132,105.353,117701,28095,13387,35675,31076
4302709,Butiá,RS,Sul,20963,752.187,543351,128895,89501,168310,122448
4302808,Caçapava do Sul,RS,Sul,33476,3048.147,1122674,257114,195154,387618,200891
4302907,Cacequi,RS,Sul,12291,2373.507,623088,367037,21461,134337,78988
4303004,Cachoeira do Sul,RS,Sul,81552,3736.064,3542706,972404,478214,1327162,446325
4303103,Cachoeirinha,RS,Sul,132144,43.778,6458504,977,1448296,2967072,803119
4303202,Cacique Doble,RS,Sul,5083,204.055,169236,89383,7003,34254,32990
4303301,Caibaté,RS,Sul,4802,261.303,264916,128980,11318,75428,32966
4303400,Caiçara,RS,Sul,4659,189.16,149122,76575,6779,28812,32500
4303509,Camaquã,RS,Sul,66686,1680.168,2723674,652970,379941,1037104,386751
4303558,Camargo,RS,Sul,2750,138.069,520483,92102,239340,101305,23645
4303608,Cambará do Sul,RS,Sul,6383,1181.811,242578,54920,55579,68094,45874
4303673,Campestre da Serra,RS,Sul,3402,538.487,204703,113111,17513,32825,26843
4303707,Campina das Missões,RS,Sul,5325,224.801,239170,118961,10526,64133,34014
4303806,Campinas do Sul,RS,Sul,5422,276.162,399404,201010,15214,117777,41060
4303905,Campo Bom,RS,Sul,69981,60.579,3600083,2915,1385783,1091223,430988
4304002,Campo Novo,RS,Sul,4273,220.719,325740,103577,23096,120446,33233
4304101,Campos Borges,RS,Sul,3272,226.202,150034,75520,8165,33185,24841
